geo,period,tx_existing_wales,tx_existing_england,tx_newbuild_wales,tx_newbuild_england,tx_total,mb_bs_gbp_m,mb_banks_gbp_m,mb_bs_plus_banks_gbp_m,mb_bs_plus_banks_spliced_gbp_m,mb_specialist_gbp_m,mb_other_gbp_m,mb_total_gbp_m,avg_house_price_gbp,months_with_tx,tx_newbuild_total,newbuild_share_of_transactions,all_dwellings_n,turnover_pct_q,price_yoy,mb_yoy,tx_yoy,turnover_pct_q_lag1q,turnover_pct_q_lag2q,turnover_pct_q_lag4q,turnover_pct_q_lag8q,newbuild_share_of_transactions_lag1q,newbuild_share_of_transactions_lag2q,newbuild_share_of_transactions_lag4q,newbuild_share_of_transactions_lag8q,tx_total_lag1q,tx_total_lag2q,tx_total_lag4q,tx_total_lag8q,avg_house_price_gbp_lag1q,avg_house_price_gbp_lag2q,avg_house_price_gbp_lag4q,avg_house_price_gbp_lag8q,mb_total_gbp_m_lag1q,mb_total_gbp_m_lag2q,mb_total_gbp_m_lag4q,mb_total_gbp_m_lag8q,price_yoy_lag1q,price_yoy_lag2q,price_yoy_lag4q,price_yoy_lag8q,mb_yoy_lag1q,mb_yoy_lag2q,mb_yoy_lag4q,mb_yoy_lag8q,tx_yoy_lag1q,tx_yoy_lag2q,tx_yoy_lag4q,tx_yoy_lag8q,y_turnover_change_8q,y_price_change_8q,y_price_pct_8q,y_mb_pct_8q,y_turnover_change_12q,y_price_change_12q,y_price_pct_12q,y_mb_pct_12q
EW,1999Q1,7813.0,184766.0,966.0,21334.0,214879.0,0.10844,0.314914,,0.423354,0.029722,0.002295,0.423354,71122.0,3,22300.0,0.10377933627762602,20927000.0,0.010268026950829073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0007225893551076456,17677.0,0.24854475408453092,0.15342951761410073,0.002150676804907558,35285.0,0.4961193442254155,0.24736508926335876
EW,1999Q2,10132.0,248486.0,1389.0,30708.0,290715.0,0.108537,0.323053,,0.43159,0.030678,0.002284,0.43159,71122.0,3,32097.0,0.11040709973685568,20927000.0,0.01389186218760453,,,,0.010268026950829073,,,,0.10377933627762602,,,,214879.0,,,,71122.0,,,,0.423354,,,,,,,,,,,,,,,,0.0010167528923219083,17677.0,0.24854475408453092,0.15479969415417427,0.0026647548396503164,35285.0,0.4961193442254155,0.25766352325123365
EW,1999Q3,12401.0,300972.0,1415.0,29423.0,344211.0,0.111658,0.330337,,0.44199499999999997,0.031772,0.002139,0.44199499999999997,71122.0,3,30838.0,0.08959039658813925,20927000.0,0.016448176996224972,,,,0.01389186218760453,0.010268026950829073,,,0.11040709973685568,0.10377933627762602,,,290715.0,214879.0,,,71122.0,71122.0,,,0.43159,0.423354,,,,,,,,,,,,,,,0.00020429624374296296,17677.0,0.24854475408453092,0.15027771807373402,0.0011149025204932085,35285.0,0.4961193442254155,0.2669396712632499
EW,1999Q4,12529.0,280823.0,1716.0,32916.0,327984.0,0.113497,0.335449,,0.448946,0.034692,0.001488,0.448946,71122.0,3,34632.0,0.10559051661056637,20927000.0,0.015672767238495724,,,,0.016448176996224972,0.01389186218760453,,,0.08959039658813925,0.11040709973685568,,,344211.0,290715.0,,,71122.0,71122.0,,,0.44199499999999997,0.43159,,,,,,,,,,,,,,,-0.00036989554518691153,17677.0,0.24854475408453092,0.15370668187265268,6.067848595871228e-05,35285.0,0.4961193442254155,0.2813500955571495
EW,2000Q1,9888.0,212432.0,1333.0,24317.0,247970.0,0.115028,0.340693,,0.45572100000000004,0.03651,0.001843,0.45572100000000004,80366.0,3,25650.0,0.10343993224986893,21075000.0,0.011766073546856465,0.12997384775456267,0.07645374792726667,0.1539982967158262,0.015672767238495724,0.016448176996224972,0.010268026950829073,,0.10559051661056637,0.08959039658813925,0.10377933627762602,,327984.0,344211.0,214879.0,,71122.0,71122.0,71122.0,,0.448946,0.44199499999999997,0.423354,,,,,,,,,,,,,,0.0006526302088801662,26041.0,0.3240300624642263,0.15877258234753278,-0.00022970019121104114,46880.0,0.583331259487843,0.2760460896030683
EW,2000Q2,12392.0,254940.0,1734.0,31507.0,300573.0,0.117186,0.347576,,0.464762,0.038457,0.001862,0.464762,80366.0,3,33241.0,0.1105921024177155,21075000.0,0.014262064056939501,0.12997384775456267,0.07685998285409767,0.03390949899385998,0.011766073546856465,0.015672767238495724,0.01389186218760453,,0.10343993224986893,0.10559051661056637,0.11040709973685568,,247970.0,327984.0,290715.0,,80366.0,71122.0,71122.0,,0.45572100000000004,0.448946,0.43159,,0.12997384775456267,,,,0.07645374792726667,,,,0.1539982967158262,,,,0.0022945529703153455,26041.0,0.3240300624642263,0.16789883854531973,-0.0010304831523701707,46880.0,0.583331259487843,0.28461879413549296
EW,2000Q3,12987.0,252089.0,1452.0,25805.0,292333.0,0.119719,0.350678,,0.470397,0.043386,0.001907,0.470397,80366.0,3,27257.0,0.09323955899607639,21075000.0,0.013871079478054568,0.12997384775456267,0.06425864545979043,-0.15071569473375346,0.014262064056939501,0.011766073546856465,0.016448176996224972,,0.1105921024177155,0.10343993224986893,0.08959039658813925,,300573.0,247970.0,344211.0,,80366.0,80366.0,71122.0,,0.464762,0.45572100000000004,0.44199499999999997,,0.12997384775456267,0.12997384775456267,,,0.07685998285409767,0.07645374792726667,,,0.03390949899385998,0.1539982967158262,,,0.003692000038663613,26041.0,0.3240300624642263,0.19044339143319378,0.0018030245520667555,46880.0,0.583331259487843,0.3120789460817137
EW,2000Q4,11683.0,228318.0,1614.0,28913.0,270528.0,0.121636,0.351686,,0.473322,0.04738,0.001927,0.473322,80366.0,3,30527.0,0.11284229358883369,21075000.0,0.01283644128113879,0.12997384775456267,0.0542960623326636,-0.17517927703790426,0.013871079478054568,0.014262064056939501,0.015672767238495724,,0.09323955899607639,0.1105921024177155,0.10559051661056637,,292333.0,300573.0,327984.0,,80366.0,80366.0,71122.0,,0.470397,0.464762,0.448946,,0.12997384775456267,0.12997384775456267,,,0.06425864545979043,0.07685998285409767,,,-0.15071569473375346,0.03390949899385998,,,0.0028970044433156462,26041.0,0.3240300624642263,0.21536079032878241,0.004209437954672116,46880.0,0.583331259487843,0.34265257055450626
EW,2001Q1,9763.0,200752.0,1085.0,21478.0,233078.0,0.109259,0.37905,,0.488309,0.044338,0.00204,0.488309,88799.0,3,22563.0,0.09680450321351651,21207000.0,0.010990616305936719,0.10493243411392883,0.07150866429240677,-0.06005565189337425,0.01283644128113879,0.013871079478054568,0.011766073546856465,0.010268026950829073,0.11284229358883369,0.09323955899607639,0.10343993224986893,0.10377933627762602,270528.0,292333.0,247970.0,214879.0,80366.0,80366.0,80366.0,71122.0,0.473322,0.470397,0.45572100000000004,0.423354,0.12997384775456267,0.12997384775456267,0.12997384775456267,,0.0542960623326636,0.06425864545979043,0.07645374792726667,,-0.17517927703790426,-0.15071569473375346,0.1539982967158262,,0.000545757049708705,38447.0,0.43296658746157046,0.19088732749140402,0.002258968641489955,59859.0,0.6740954290025789,0.32642445664527986
EW,2001Q2,12904.0,269946.0,1782.0,31535.0,316167.0,0.110846,0.387554,,0.4984,0.047825,0.002062,0.4984,88799.0,3,33317.0,0.10537785410874632,21207000.0,0.014908615079926439,0.10493243411392883,0.07237682943097767,0.05188090746673857,0.010990616305936719,0.01283644128113879,0.014262064056939501,0.01389186218760453,0.09680450321351651,0.11284229358883369,0.1105921024177155,0.11040709973685568,233078.0,270528.0,300573.0,290715.0,88799.0,80366.0,80366.0,71122.0,0.488309,0.473322,0.464762,0.43159,0.10493243411392883,0.12997384775456267,0.12997384775456267,,0.07150866429240677,0.0542960623326636,0.07685998285409767,,-0.06005565189337425,-0.17517927703790426,0.03390949899385998,,-0.0016770341753571082,38447.0,0.43296658746157046,0.1979173354735151,0.0014546481556389542,59859.0,0.6740954290025789,0.33162720706260007
