geo,period,tx_existing_wales,tx_existing_england,tx_newbuild_wales,tx_newbuild_england,tx_total,mb_bs_gbp_m,mb_banks_gbp_m,mb_bs_plus_banks_gbp_m,mb_bs_plus_banks_spliced_gbp_m,mb_specialist_gbp_m,mb_other_gbp_m,mb_total_gbp_m,avg_house_price_gbp,months_with_tx,tx_newbuild_total,newbuild_share_of_transactions,all_dwellings_n,turnover_pct_q,gP_yoy,gTO_yoy,volP_8q,volTO_8q,gMB_yoy,W,volW_8q,calm
EW,1999Q1,7813.0,184766.0,966.0,21334.0,214879.0,0.10844,0.314914,,0.423354,0.029722,0.002295,0.423354,71122.0,3,22300.0,0.103779336277626,20927000.0,0.010268026950829,,,,,,,,False
EW,1999Q2,10132.0,248486.0,1389.0,30708.0,290715.0,0.108537,0.323053,,0.43159,0.030678,0.002284,0.43159,71122.0,3,32097.0,0.1104070997368556,20927000.0,0.0138918621876045,,,,,,,,False
EW,1999Q3,12401.0,300972.0,1415.0,29423.0,344211.0,0.111658,0.330337,,0.4419949999999999,0.031772,0.002139,0.4419949999999999,71122.0,3,30838.0,0.0895903965881392,20927000.0,0.0164481769962249,,,,,,,,False
EW,1999Q4,12529.0,280823.0,1716.0,32916.0,327984.0,0.113497,0.335449,,0.448946,0.034692,0.001488,0.448946,71122.0,3,34632.0,0.1055905166105663,20927000.0,0.0156727672384957,,,,,,,,False
EW,2000Q1,9888.0,212432.0,1333.0,24317.0,247970.0,0.115028,0.340693,,0.455721,0.03651,0.001843,0.455721,80366.0,3,25650.0,0.1034399322498689,21075000.0,0.0117660735468564,0.12997384775456267,0.1458942991872898,,,0.08527599586783552,0.04469785188672715,,False
EW,2000Q2,12392.0,254940.0,1734.0,31507.0,300573.0,0.117186,0.347576,,0.464762,0.038457,0.001862,0.464762,80366.0,3,33241.0,0.1105921024177155,21075000.0,0.0142620640569395,0.12997384775456267,0.026648829677084374,,,0.0858511882868711,0.04412265946769156,,False
EW,2000Q3,12987.0,252089.0,1452.0,25805.0,292333.0,0.119719,0.350678,,0.470397,0.043386,0.001907,0.470397,80366.0,3,27257.0,0.0932395589960763,21075000.0,0.0138710794780545,0.12997384775456267,-0.15667982650976342,,,0.08472384201148175,0.04525000574308091,,False
EW,2000Q4,11683.0,228318.0,1614.0,28913.0,270528.0,0.121636,0.351686,,0.473322,0.04738,0.001927,0.473322,80366.0,3,30527.0,0.1128422935888336,21075000.0,0.0128364412811387,0.12997384775456267,-0.18097161236404835,,,0.07934630495402573,0.05062754280053694,,False
EW,2001Q1,9763.0,200752.0,1085.0,21478.0,233078.0,0.109259,0.37905,,0.488309,0.044338,0.00204,0.488309,88799.0,3,22563.0,0.0968045032135165,21207000.0,0.0109906163059367,0.10493243411392883,-0.06590620378425938,,,0.08214592933217735,0.022786504781751482,,False
EW,2001Q2,12904.0,269946.0,1782.0,31535.0,316167.0,0.110846,0.387554,,0.4984,0.047825,0.002062,0.4984,88799.0,3,33317.0,0.1053778541087463,21207000.0,0.0149086150799264,0.10493243411392883,0.04533362214652992,,,0.08442254595256116,0.020509888161367673,,False
