geo,period,p,avg_house_price_gbp,mb_total_gbp_m,turnover_pct_q,newbuild_share_of_transactions,gP_yoy,gMB_yoy,gTO_yoy,W_wedge,dNB_yoy,zW,zTO,zNB,fair_wedge_contrib,fair_turn_contrib,fair_nb_contrib,FAIR,dFAIR
EW,1999Q1,1999-03-31,,455371.0,0.010268026950829,0.103779336277626,,,,,,,,,,,,,
EW,1999Q2,1999-06-30,,464552.0,0.0138918621876045,0.1104070997368556,,,,,,,,,,,,,
EW,1999Q3,1999-09-30,,475906.0,0.0164481769962249,0.0895903965881392,,,,,,,,,,,,,
EW,1999Q4,1999-12-31,,485126.0,0.0156727672384957,0.1055905166105663,,,,,,,,,,,,,
EW,2000Q1,2000-03-31,,494073.0,0.0117660735468564,0.1034399322498689,,0.08499004108737718,0.1458942991872898,,-0.00033940402775710365,,0.6827789556801286,-0.12253651372819396,,-23.897263448804498,-1.2253651372819399,,
EW,2000Q2,2000-06-30,,505081.0,0.0142620640569395,0.1105921024177155,,0.08724319344228415,0.026648829677084374,,0.0001850026808598998,,0.012024635736732138,-0.08627877242140197,,-0.4208622507856248,-0.8627877242140197,,
EW,2000Q3,2000-09-30,,515690.0,0.0138710794780545,0.0932395589960763,,0.08359634045378717,-0.15667982650976342,,0.0036491624079370982,,-1.0191968321465552,0.15323495836403916,,35.67188912512943,1.5323495836403918,,
EW,2000Q4,2000-12-31,,522629.0,0.0128364412811387,0.1128422935888336,,0.07730568965588325,-0.18097161236404835,,0.007251776978267302,,-1.155837832998223,0.40232152604658844,,40.4543241549378,4.023215260465884,,
EW,2001Q1,2001-03-31,,534687.0,0.0109906163059367,0.0968045032135165,,0.08220242757649165,-0.06590620378425938,,-0.0066354290363524054,,-0.5085963050981628,-0.5578468220664949,,17.800870678435697,-5.578468220664949,,
EW,2001Q2,2001-06-30,,548286.0,0.0149086150799264,0.1053778541087463,,0.0855407350504176,0.04533362214652992,,-0.005214248308969202,,0.11712636679288628,-0.4595856779641368,,-4.099422837751019,-4.595856779641369,,
EW,2001Q3,2001-09-30,,563860.0,0.0166524732399679,0.0808865379768879,,0.0934088308867731,0.200517469913849,,-0.012353021019188407,,0.9900336286193767,-0.9531639825928694,,-34.651177001678185,-9.531639825928695,,
EW,2001Q4,2001-12-31,,577244.0,0.0153028716933088,0.1013009663264803,,0.1045005156621619,0.1921428500431941,,-0.01154132726235331,,0.9429264934032683,-0.8970430715288593,,-33.002427269114385,-8.970430715288593,,
EW,2002Q1,2002-03-31,,591546.0,0.0124187037557366,0.0906636398945657,,0.10634071896268282,0.12993697623931277,,-0.006140863318950793,,0.5930192076070879,-0.523652301771271,,-20.755672266248077,-5.2365230177127104,,
EW,2002Q2,2002-06-30,,610757.0,0.0165566170272548,0.0997284683920237,,0.11393871081880613,0.1105402439122154,,-0.005649385716722591,,0.4839128234851082,-0.4896712952988935,,-16.93694882197879,-4.896712952988935,,
EW,2002Q3,2002-09-30,,637239.0,0.0175630795167181,0.0831506871230422,,0.13013691341822442,0.054682944907224806,,0.002264149146154304,,0.16971619394556076,0.05747445086665569,,-5.940066788094626,0.5747445086665569,,
EW,2002Q4,2002-12-31,,659190.0,0.0157334457244544,0.1056546378864905,,0.14196076529162704,0.028136812473822825,,0.004353671560010208,,0.02039452092409647,0.20194507241177917,,-0.7138082323433764,2.019450724117792,,
EW,2003Q1,2003-03-31,,678934.0,0.0115363733556454,0.0893698978975107,,0.14772815639020465,-0.07104851017028435,,-0.001293741997055009,,-0.5375217161604553,-0.188519916765328,,18.813260065615932,-1.88519916765328,,
EW,2003Q2,2003-06-30,,701380.0,0.0132315809045693,0.1124043126495252,,0.148378160217566,-0.200828231830933,,0.012675844257501498,,-1.2675310767046026,0.7773442422123744,,44.363587684661084,7.773442422123744,,
EW,2003Q3,2003-09-30,,728945.0,0.0156741040301213,0.0841941061160093,,0.14391146806771093,-0.10755377408607114,,0.0010434189929671017,,-0.7428633829991454,-0.02692744058967153,,26.000218404970088,-0.2692744058967153,,
EW,2003Q4,2003-12-31,,756738.0,0.0170458792358109,0.10751060789511,,0.14798161379875308,0.0834167883082717,,0.0018559700086194925,,0.3313437146303595,0.029252741776401695,,-11.597030012062582,0.292527417764017,,
EW,2004Q1,2004-03-31,,781135.0,0.0132495849474266,0.0850701695764764,,0.15053156860607952,0.1485052138107883,,-0.004299728321034299,,0.6974653187755846,-0.3963553100119769,,-24.411286157145458,-3.963553100119769,,
EW,2004Q2,2004-06-30,,807883.0,0.0163632632355653,0.1006056575005425,,0.15184778579372105,0.23668240050699674,,-0.011798655148982706,,1.193460924645335,-0.9148348499159783,,-41.77113236258672,-9.148348499159784,,
EW,2004Q3,2004-09-30,,835035.0,0.0159205866076369,0.0839952262602035,,0.14553910102957013,0.015725465203110023,,-0.00019887985580580025,,-0.04941915696524101,-0.11282060241310307,,1.729670493783435,-1.1282060241310308,,
EW,2004Q4,2004-12-31,,858772.0,0.0120961077292012,0.1285323227547923,,0.13483398481376652,-0.29037936020401656,,0.021021714859682294,,-1.771255087845426,1.3543818969591506,,61.99392807458991,13.543818969591506,,
EW,2005Q1,2005-03-31,,873548.0,0.0084706904435299,0.1157221976313601,,0.11830605465124466,-0.3606825815947451,,0.030652028054883707,,-2.1667098556236883,2.020226553019824,,75.83484494682908,20.20226553019824,,
EW,2005Q2,2005-06-30,,896678.0,0.0120263374485596,0.1284142409587249,,0.10991071726970358,-0.26504039717331307,,0.027808583458182393,,-1.6287237280751852,1.8236293758416657,,57.00533048263148,18.236293758416657,,
EW,2005Q3,2005-09-30,,920399.0,0.0137668038408779,0.0993058323369204,,0.10222805032124405,-0.13528287743655487,,0.015310606076716901,,-0.8988392530836862,0.9595129881044007,,31.459373857929013,9.595129881044006,,
EW,2005Q4,2005-12-31,,943674.0,0.0135181069958847,0.1261259432893272,,0.09886442501618586,0.11755841618793239,,-0.002406379465465097,,0.5233899574288953,-0.265448226100364,,-18.318648510011336,-2.6544822610036403,,
EW,2006Q1,2006-03-31,,964094.0,0.011763149549223,0.1081733731821543,,0.10365314785220736,0.3886883988551313,,-0.007548824449205807,,2.0484928220256715,-0.6209994363367985,,-71.6972487708985,-6.2099943633679855,,
EW,2006Q2,2006-06-30,,990077.0,0.0148420241924523,0.1182663427022539,,0.10416113699678142,0.23412670365655952,,-0.010147898256470986,,1.1790851608537405,-0.800700695288283,,-41.26798062988091,-8.007006952882831,,
EW,2006Q3,2006-09-30,,1022564.0,0.0163538712454129,0.0864399314087523,,0.11100077249106088,0.1879206992732183,,-0.012865900928168111,,0.9191769465228208,-0.9886247552253922,,-32.171193128298725,-9.886247552253922,,
EW,2006Q4,2006-12-31,,1052289.0,0.0163051692112535,0.1056559526984973,,0.11509801054177604,0.20617252224865967,,-0.020469990590829892,,1.0218432294256834,-1.5143753059564329,,-35.764513029898914,-15.14375305956433,,
EW,2007Q1,2007-03-31,,1073760.0,0.012793476310122,0.0840636737614022,,0.11375031895230125,0.08758936172558118,,-0.024109699420752098,,0.35481438950326766,-1.7660265892426417,,-12.418503632614367,-17.66026589242642,,
