Year,old_stock_england,old_stock_wales,new_build_england,new_build_wales,total_transactions,cash_transactions_wales,cash_transactions_england,cash_transactions_ (blank),total_cash_transactions,avg_house_price_gbp_england_wales,stock_turnover_ PCT,Month,old_stock_england_m,old_stock_wales_m,new_build_england_m,new_build_wales_m,cash_transactions_wales_m,cash_transactions_england_m,mb_building_societies_gbp,mb_banks_gbp,mb_bs_plus_banks_gbp,mb_specialist_lenders_gbp,mb_others_gbp,mb_total_outstanding_gbp,sales_per_outlet_pm,sales_per_outlet_pw,
1998,883908,38990,106829,5201,1034928,nul,nul,nul,nul,63000,7.18,,,,,,nul,nul,,,,,,,,,
,,,,,,,,,,,,01/01/1999,54747,2348,5242,228,nul,nul,106747,313771,nul,27346,2297,450161,nul,nul,
,,,,,,,,,,,,01/02/1999,55339,2385,6825,336,nul,nul,107165,313636,nul,28529,2296,451626,,,
,,,,,,,,,,,,01/03/1999,74680,3080,9267,402,nul,nul,108440,314914,nul,29722,2295,455371,,,
,,,,,,,,,,,,01/04/1999,80173,3250,9082,409,nul,nul,106257,319422,nul,30296,2292,458267,,,
,,,,,,,,,,,,01/05/1999,79544,3367,9551,473,nul,nul,107338,320935,nul,30503,2288,461064,,,
,,,,,,,,,,,,01/06/1999,88769,3515,12075,507,nul,nul,108537,323053,nul,30678,2284,464552,,,
,,,,,,,,,,,,01/07/1999,109070,4430,10582,529,nul,nul,109856,325447,nul,31067,2236,468605,,,
,,,,,,,,,,,,01/08/1999,98880,4120,9418,456,nul,nul,110808,327594,nul,31407,2188,471997,,,
,,,,,,,,,,,,01/09/1999,93022,3851,9423,430,nul,nul,111658,330337,nul,31772,2139,475906,,,
,,,,,,,,,,,,01/10/1999,97297,4256,10098,526,nul,nul,112353,331242,nul,33791,1921,479307,,,
,,,,,,,,,,,,01/11/1999,93770,4147,10132,560,nul,nul,112966,333773,nul,34129,1704,482572,,,
,,,,,,,,,,,,01/12/1999,89756,4126,12686,630,nul,nul,113497,335449,nul,34692,1488,485126,,,
1999,1015047,42875,114381,5486,1177789,nul,nul,nul,nul,71122,8.07,,,,,,,,,,,,,,,,
,,,,,,,,,,,,01/01/2000,62354,2732,5677,331,nul,nul,113848,337459,nul,35307,1786,488399,nul,nul,
,,,,,,,,,,,,01/02/2000,64662,2975,7702,438,nul,nul,114076,338957,nul,35570,1815,490419,,,
,,,,,,,,,,,,01/03/2000,85416,4181,10938,564,nul,nul,115028,340693,nul,36510,1843,494073,,,
,,,,,,,,,,,,01/04/2000,80121,3927,8586,501,nul,nul,115710,342859,nul,36813,1849,497230,,,
,,,,,,,,,,,,01/05/2000,82698,3883,9611,507,nul,nul,116414,344146,nul,37965,1855,500380,,,
,,,,,,,,,,,,01/06/2000,92121,4582,13310,726,nul,nul,117186,347576,nul,38457,1862,505081,,,
,,,,,,,,,,,,01/07/2000,87289,4354,8111,454,nul,nul,117879,347571,nul,41071,1877,508398,,,
,,,,,,,,,,,,01/08/2000,85626,4413,8720,475,nul,nul,118875,350003,nul,41661,1892,512432,,,
,,,,,,,,,,,,01/09/2000,79174,4220,8974,523,nul,nul,119719,350678,nul,43386,1907,515690,,,
,,,,,,,,,,,,01/10/2000,75100,3846,7999,391,nul,nul,120541,351999,nul,44127,1917,518584,,,
,,,,,,,,,,,,01/11/2000,74839,3811,8470,476,nul,nul,121636,351686,nul,47380,1927,522629,,,
,,,,,,,,,,,,01/12/2000,78379,4026,12444,747,nul,nul, , ,nul, , , ,,,
2000,947779,46950,110542,6133,1111404,nul,nul,nul,nul,80366,7.54,,,,,,,,,,,,,,,,
,,,,,,,,,,,,01/01/2001,59858,2779,5012,214,nul,nul,107780,377025,nul,41468,1959,528232,nul,nul,
,,,,,,,,,,,,01/02/2001,60612,2996,6522,337,nul,nul,108502,377622,nul,42840,1999,530964,,,
,,,,,,,,,,,,01/03/2001,80282,3988,9944,534,nul,nul,109259,379050,nul,44338,2040,534687,,,
,,,,,,,,,,,,01/04/2001,80485,3822,8071,394,nul,nul,109896,381934,nul,44469,2047,538346,,,
,,,,,,,,,,,,01/05/2001,90311,4170,9167,488,nul,nul,110378,383307,nul,47179,2055,542920,,,
,,,,,,,,,,,,01/06/2001,99150,4912,14297,900,nul,nul,110846,387554,nul,47825,2062,548286,,,
,,,,,,,,,,,,01/07/2001,104766,5133,8434,516,nul,nul,111148,389143,nul,50938,2052,553281,,,
,,,,,,,,,,,,01/08/2001,114812,5687,10037,553,nul,nul,111609,393928,nul,51573,2042,559151,,,
,,,,,,,,,,,,01/09/2001,89735,4451,8561,464,nul,nul,111918,396499,nul,53411,2032,563860,,,
,,,,,,,,,,,,01/10/2001,97048,4962,8585,522,nul,nul,112266,400171,nul,53795,2041,568273,,,
,,,,,,,,,,,,01/11/2001,99302,5358,9847,622,nul,nul,112946,401805,nul,56982,2049,573782,,,
,,,,,,,,,,,,01/12/2001,80705,4278,12624,675,nul,nul,113413,404539,nul,57234,2058,577244,,,
2001,1057066,52536,111101,6219,1226922,nul,nul,nul,nul,88799,8.26,,,,,,,,,,,,,,,,
,,,,,,,,,,,,01/01/2002,66703,3393,4975,259,nul,nul,113926,408315,nul,57575,2141,581957,nul,nul,
,,,,,,,,,,,,01/02/2002,70267,3776,6864,407,nul,nul,114353,411394,nul,58189,2225,586162,,,
,,,,,,,,,,,,01/03/2002,91947,5060,10881,657,nul,nul,114965,413112,nul,61161,2308,591546,,,
,,,,,,,,,,,,01/04/2002,91026,4665,8612,411,nul,nul,115922,417409,nul,61181,2282,596794,,,
,,,,,,,,,,,,01/05/2002,120424,6202,11739,674,nul,nul,116917,423463,nul,61927,2257,604564,,,
,,,,,,,,,,,,01/06/2002,91171,4803,13114,709,nul,nul,117944,424851,nul,65731,2231,610757,,,
,,,,,,,,,,,,01/07/2002,116789,5813,9686,553,nul,nul,119039,430303,nul,70605,2169,622116,,,
,,,,,,,,,,,,01/08/2002,115962,5823,10398,637,nul,nul,120155,436434,nul,71330,2108,630027,,,
,,,,,,,,,,,,01/09/2002,94627,4843,9427,484,nul,nul,121060,438921,nul,75212,2046,637239,,,
,,,,,,,,,,,,01/10/2002,96659,4879,9466,451,nul,nul,121881,445155,nul,76242,2064,645341,,,
,,,,,,,,,,,,01/11/2002,100194,5569,10656,567,nul,nul,122699,447830,nul,80588,2081,653198,,,
,,,,,,,,,,,,01/12/2002,88387,4787,13683,674,nul,nul,123638,451619,nul,81834,2099,659190,,,
2002,1144156,59613,119501,6483,1329753,nul,nul,nul,nul,106407,9.01,,,,,,,,,,,,,,,,
,,,,,,,,,,,,01/01/2003,74493,3700,5433,275,nul,nul,125001,453777,nul,85875,2161,666814,2.52,0.63,
,,,,,,,,,,,,01/02/2003,68624,3584,7033,409,nul,nul,126010,457260,nul,86728,2223,672221,,,
,,,,,,,,,,,,01/03/2003,71552,4049,8560,470,nul,nul,127000,454521,nul,95128,2285,678934,,,
,,,,,,,,,,,,01/04/2003,75182,4282,7715,428,nul,nul,128097,458894,nul,95466,2309,684766,,,
,,,,,,,,,,,,01/05/2003,82655,4581,9158,592,nul,nul,129614,461871,nul,98771,2332,692588,,,
,,,,,,,,,,,,01/06/2003,81111,4844,13396,707,nul,nul,131696,465346,nul,101981,2356,701380,,,
,,,,,,,,,,,,01/07/2003,95410,5135,8112,442,nul,nul,133195,472280,nul,103162,2378,711016,,,
,,,,,,,,,,,,01/08/2003,100583,5503,9412,433,nul,nul,134457,477620,nul,105345,2401,719824,,,
,,,,,,,,,,,,01/09/2003,97100,5076,9582,409,nul,nul,136395,480803,nul,109324,2423,728945,,,
,,,,,,,,,,,,01/10/2003,109063,5896,10735,533,nul,nul,138909,487627,nul,110781,2447,739764,,,
,,,,,,,,,,,,01/11/2003,101042,5561,11099,601,nul,nul,140946,488943,nul,116925,2470,749284,,,
,,,,,,,,,,,,01/12/2003,100373,5348,15732,725,nul,nul,142312,493195,nul,118737,2494,756738,,,
2003,1057188,57559,115967,6024,1236738,nul,nul,nul,nul,127246,8.25,,,,,,,,,,,,,,,,
,,,,,,,,,,,,01/01/2004,80838,3940,5859,351,nul,nul,143670,496309,nul,122906,2475,765360,2.64,0.66,
,,,,,,,,,,,,01/02/2004,79095,3776,7417,430,nul,nul,144886,500515,nul,124171,2455,772027,,,
,,,,,,,,,,,,01/03/2004,90471,4743,9871,513,nul,nul,146933,500772,nul,130994,2436,781135,,,
,,,,,,,,,,,,01/04/2004,104333,5363,9759,458,nul,nul,148359,503544,nul,135833,2458,790195,,,
,,,,,,,,,,,,01/05/2004,95038,4756,10079,470,nul,nul,149788,505268,nul,140782,2481,798319,,,
,,,,,,,,,,,,01/06/2004,104537,5097,14340,591,nul,nul,151380,512303,nul,141697,2503,807883,,,
,,,,,,,,,,,,01/07/2004,117283,5706,9495,460,nul,nul,153644,515346,nul,146562,2503,818055,,,
,,,,,,,,,,,,01/08/2004,100211,4330,8988,477,nul,nul,155669,520355,nul,148210,2504,826738,,,
,,,,,,,,,,,,01/09/2004,84883,3812,9113,464,nul,nul,157087,511975,nul,163469,2504,835035,,,
,,,,,,,,,,,,01/10/2004,81337,3674,8936,413,nul,nul,158246,518297,nul,163410,2503,842456,,,
,,,,,,,,,,,,01/11/2004,70730,3300,8810,480,nul,nul,159129,518819,nul,170230,2503,850681,,,
,,,,,,,,,,,,01/12/2004,66477,3061,14411,663,nul,nul,160116,524349,nul,171805,2502,858772,,,
2004,1075233,51558,117078,5770,1249639,nul,nul,nul,nul,148658,8.28,,,,,,,,,,,,,,,,
,,,,,,,,,,,,01/01/2005,48039,2268,5425,248,nul,nul,160923,524380,nul,176178,2508,863989,2.96,0.74,
,,,,,,,,,,,,01/02/2005,49550,2304,6494,268,nul,nul,161623,520860,nul,182425,2515,867422,,,
,,,,,,,,,,,,01/03/2005,58683,2972,8639,364,nul,nul,162384,521945,nul,186697,2521,873548,,,
,,,,,,,,,,,,01/04/2005,69750,3497,9208,394,nul,nul,163575,525317,nul,189068,2527,880487,,,
,,,,,,,,,,,,01/05/2005,70973,3459,8978,406,nul,nul,164742,525885,nul,194189,2534,887350,,,
,,,,,,,,,,,,01/06/2005,77887,3675,14193,596,nul,nul,166163,526750,nul,201289,2476,896678,,,
,,,,,,,,,,,,01/07/2005,87835,3976,9090,452,nul,nul,167415,531786,nul,202550,2461,904212,,,
,,,,,,,,,,,,01/08/2005,85653,4048,8939,362,nul,nul,169163,536116,nul,204702,2446,912427,,,
,,,,,,,,,,,,01/09/2005,85606,4063,10585,471,nul,nul,170458,541129,nul,206359,2453,920399,,,
,,,,,,,,,,,,01/10/2005,79148,3833,9423,416,nul,nul,171393,544253,nul,209703,2421,927770,,,
,,,,,,,,,,,,01/11/2005,81446,3950,9999,433,nul,nul,172421,550763,nul,210646,2388,936218,,,
,,,,,,,,,,,,01/12/2005,85933,4043,16356,661,nul,nul,173205,552451,nul,215662,2356,943674,,,
2005,880503,42088,117329,5071,1044991,nul,nul,nul,nul,156325,6.94,,,,,,,,,,,,,,,,
,,,,,,,,,,,,01/01/2006,66094,2972,6925,256,nul,nul,173971,542221,nul,232238,2358,950788,3.36,0.84,
,,,,,,,,,,,,01/02/2006,67557,3236,8218,331,nul,nul,174707,545818,nul,232551,2360,955436,,,
,,,,,,,,,,,,01/03/2006,87556,4146,11840,517,nul,nul,175812,546597,nul,239323,2362,964094,,,
,,,,,,,,,,,,01/04/2006,81705,3835,9600,372,nul,nul,176936,547778,nul,244569,2336,971619,,,
,,,,,,,,,,,,01/05/2006,90433,4165,10647,417,nul,nul,178537,550414,nul,247941,2311,979203,,,
,,,,,,,,,,,,01/06/2006,103739,4986,16940,769,nul,nul,180494,558004,nul,249294,2285,990077,,,
,,,,,,,,,,,,01/07/2006,102752,4777,9717,359,nul,nul,182129,565270,nul,249633,2333,999365,,,
,,,,,,,,,,,,01/08/2006,108998,5067,9686,380,nul,nul,184458,568560,nul,256036,2382,1011436,,,
,,,,,,,,,,,,01/09/2006,103177,5005,10584,477,nul,nul,186437,570508,nul,263189,2430,1022564,,,
,,,,,,,,,,,,01/10/2006,101052,5106,9712,414,nul,nul,187974,570747,nul,270933,2438,1032092,,,
,,,,,,,,,,,,01/11/2006,102265,5061,10425,464,nul,nul,189182,571144,nul,280453,2446,1043226,,,
,,,,,,,,,,,,01/12/2006,103103,5291,16355,656,nul,nul,189686,579324,nul,280825,2454,1052289,,,
2006,1118431,53647,130649,5412,1308139,nul,nul,nul,nul,166470,8.67,,,,,,,,,,,,,,,,
,,,,,,,,,,,,01/01/2007,78600,3747,6521,215,nul,nul,191171,579825,nul,286983,2491,1060470,3.72,0.93,
,,,,,,,,,,,,01/02/2007,77829,3496,6545,254,nul,nul,192646,584431,nul,287757,2528,1067362,,,
,,,,,,,,,,,,01/03/2007,92945,4554,10094,341,nul,nul,194442,579638,nul,297116,2565,1073760,,,
,,,,,,,,,,,,01/04/2007,84841,4186,7702,242,nul,nul,195562,584898,nul,298210,2577,1081247,,,
,,,,,,,,,,,,01/05/2007,96107,4730,8830,317,nul,nul,196830,577686,nul,313435,2589,1090540,,,
,,,,,,,,,,,,01/06/2007,106506,5509,13570,416,nul,nul,198163,580312,nul,321025,2601,1102101,,,
,,,,,,,,,,,,01/07/2007,106336,5183,7224,204,nul,nul,198672,587668,nul,322635,2674,1111649,,,
,,,,,,,,,,,,01/08/2007,114720,5535,6526,184,nul,nul,199452,588887,nul,330807,2747,1121893,,,
,,,,,,,,,,,,01/09/2007,89345,4212,6426,179,nul,nul,200050,590029,nul,343705,2820,1136604,,,
,,,,,,,,,,,,01/10/2007,92869,4552,7184,214,nul,nul,200804,604239,nul,335660,2871,1143574,,,
,,,,,,,,,,,,01/11/2007,91097,4544,7054,278,nul,nul,201598,599684,nul,347678,2922,1151882,,,
,,,,,,,,,,,,01/12/2007,69516,3679,9795,395,nul,nul,202665,596286,nul,354553,2973,1156477,,,
2007,1100711,53927,97471,3239,1255348,nul,nul,nul,nul,181364,8.33,,,,,,,,,,,,,,,,
,,,,,,,,,,,,01/01/2008,52322,2399,3867,137,nul,nul,205008,602073,nul,343249,3171,1153500,3.64,0.91,
,,,,,,,,,,,,01/02/2008,55483,2592,4509,90,nul,nul,206030,608733,nul,339452,3368,1157582,,,
,,,,,,,,,,,,01/03/2008,49501,2620,6565,303,nul,nul,206855,610509,nul,341343,3566,1162273,,,
,,,,,,,,,,,,01/04/2008,53376,2765,7083,291,nul,nul,207445,599446,nul,355939,3648,1166478,,,
