"Name","URI","Region GSS code","Period","Sales volume","Reporting period","Sales volume Cash purchases","Pivotable date"
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1970-08,,quarterly,,1970-08-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1970-08,,quarterly,,1970-08-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1970-09,,quarterly,,1970-09-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1970-09,,quarterly,,1970-09-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1970-10,,quarterly,,1970-10-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1970-10,,quarterly,,1970-10-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1970-11,,quarterly,,1970-11-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1970-11,,quarterly,,1970-11-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1970-12,,quarterly,,1970-12-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1970-12,,quarterly,,1970-12-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1971-01,,quarterly,,1971-01-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1971-01,,quarterly,,1971-01-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1971-02,,quarterly,,1971-02-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1971-02,,quarterly,,1971-02-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1971-03,,quarterly,,1971-03-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1971-03,,quarterly,,1971-03-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1971-04,,quarterly,,1971-04-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1971-04,,quarterly,,1971-04-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1971-05,,quarterly,,1971-05-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1971-05,,quarterly,,1971-05-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1971-06,,quarterly,,1971-06-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1971-06,,quarterly,,1971-06-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1971-07,,quarterly,,1971-07-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1971-07,,quarterly,,1971-07-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1971-08,,quarterly,,1971-08-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1971-08,,quarterly,,1971-08-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1971-09,,quarterly,,1971-09-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1971-09,,quarterly,,1971-09-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1971-10,,quarterly,,1971-10-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1971-10,,quarterly,,1971-10-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1971-11,,quarterly,,1971-11-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1971-11,,quarterly,,1971-11-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1971-12,,quarterly,,1971-12-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1971-12,,quarterly,,1971-12-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1972-01,,quarterly,,1972-01-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1972-01,,quarterly,,1972-01-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1972-02,,quarterly,,1972-02-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1972-02,,quarterly,,1972-02-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1972-03,,quarterly,,1972-03-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1972-03,,quarterly,,1972-03-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1972-04,,quarterly,,1972-04-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1972-04,,quarterly,,1972-04-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1972-05,,quarterly,,1972-05-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1972-05,,quarterly,,1972-05-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1972-06,,quarterly,,1972-06-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1972-06,,quarterly,,1972-06-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1972-07,,quarterly,,1972-07-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1972-07,,quarterly,,1972-07-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1972-08,,quarterly,,1972-08-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1972-08,,quarterly,,1972-08-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1972-09,,quarterly,,1972-09-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1972-09,,quarterly,,1972-09-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1972-10,,quarterly,,1972-10-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1972-10,,quarterly,,1972-10-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1972-11,,quarterly,,1972-11-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1972-11,,quarterly,,1972-11-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1972-12,,quarterly,,1972-12-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1972-12,,quarterly,,1972-12-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1973-01,,quarterly,,1973-01-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1973-01,,quarterly,,1973-01-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1973-02,,quarterly,,1973-02-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1973-02,,quarterly,,1973-02-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1973-03,,quarterly,,1973-03-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1973-03,,quarterly,,1973-03-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1973-04,,quarterly,,1973-04-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1973-04,,quarterly,,1973-04-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1973-05,,quarterly,,1973-05-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1973-05,,quarterly,,1973-05-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1973-06,,quarterly,,1973-06-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1973-06,,quarterly,,1973-06-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1973-07,,quarterly,,1973-07-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1973-07,,quarterly,,1973-07-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1973-08,,quarterly,,1973-08-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1973-08,,quarterly,,1973-08-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1973-09,,quarterly,,1973-09-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1973-09,,quarterly,,1973-09-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1973-10,,quarterly,,1973-10-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1973-10,,quarterly,,1973-10-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1973-11,,quarterly,,1973-11-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1973-11,,quarterly,,1973-11-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1973-12,,quarterly,,1973-12-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1973-12,,quarterly,,1973-12-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1974-01,,quarterly,,1974-01-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1974-01,,quarterly,,1974-01-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1974-02,,quarterly,,1974-02-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1974-02,,quarterly,,1974-02-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1974-03,,quarterly,,1974-03-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1974-03,,quarterly,,1974-03-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1974-04,,quarterly,,1974-04-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1974-04,,quarterly,,1974-04-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1974-05,,quarterly,,1974-05-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1974-05,,quarterly,,1974-05-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1974-06,,quarterly,,1974-06-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1974-06,,quarterly,,1974-06-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1974-07,,quarterly,,1974-07-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1974-07,,quarterly,,1974-07-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1974-08,,quarterly,,1974-08-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1974-08,,quarterly,,1974-08-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1974-09,,quarterly,,1974-09-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1974-09,,quarterly,,1974-09-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1974-10,,quarterly,,1974-10-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1974-10,,quarterly,,1974-10-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1974-11,,quarterly,,1974-11-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1974-11,,quarterly,,1974-11-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1974-12,,quarterly,,1974-12-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1974-12,,quarterly,,1974-12-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1975-01,,quarterly,,1975-01-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1975-01,,quarterly,,1975-01-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1975-02,,quarterly,,1975-02-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1975-02,,quarterly,,1975-02-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1975-03,,quarterly,,1975-03-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1975-03,,quarterly,,1975-03-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1975-04,,quarterly,,1975-04-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1975-04,,quarterly,,1975-04-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1975-05,,quarterly,,1975-05-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1975-05,,quarterly,,1975-05-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1975-06,,quarterly,,1975-06-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1975-06,,quarterly,,1975-06-01
England,http://landregistry.data.gov.uk/id/region/england,E92000001,1975-07,,quarterly,,1975-07-01
Wales,http://landregistry.data.gov.uk/id/region/wales,W92000004,1975-07,,quarterly,,1975-07-01
