geo,period,tx_existing_wales,tx_existing_england,tx_newbuild_wales,tx_newbuild_england,tx_total,mb_bs_gbp_m,mb_banks_gbp_m,mb_bs_plus_banks_gbp_m,mb_bs_plus_banks_spliced_gbp_m,mb_specialist_gbp_m,mb_other_gbp_m,mb_total_gbp_m,avg_house_price_gbp,months_with_tx,tx_newbuild_total,newbuild_share_of_transactions,all_dwellings_n,turnover_pct_q
EW,2006Q4,15458.0,306420.0,1534.0,36492.0,359904.0,0.189686,0.579324,,0.76901,0.280825,0.002454,0.76901,166470.0,3,38026.0,0.10565595269849738,22073000.0,0.016305169211253568
EW,2007Q1,11797.0,249374.0,810.0,23160.0,285141.0,0.194442,0.579638,,0.77408,0.297116,0.002565,0.77408,181364.0,3,23970.0,0.08406367376140225,22288000.0,0.012793476310122039
EW,2007Q2,14425.0,287454.0,975.0,30102.0,332956.0,0.198163,0.580312,,0.778475,0.321025,0.002601,0.778475,181364.0,3,31077.0,0.09333665709583248,22288000.0,0.014938801148600144
EW,2007Q3,14930.0,310401.0,567.0,20176.0,346074.0,0.20005,0.590029,,0.790079,0.343705,0.00282,0.790079,181364.0,3,20743.0,0.05993804793194519,22288000.0,0.015527368987796124
EW,2007Q4,12775.0,253482.0,887.0,24033.0,291177.0,0.202665,0.596286,,0.798951,0.354553,0.002973,0.798951,181364.0,3,24920.0,0.08558368277714243,22288000.0,0.013064294687724336
EW,2008Q1,7611.0,157306.0,530.0,14941.0,180388.0,0.206855,0.610509,,0.817364,0.341343,0.003566,0.817364,168974.0,3,15471.0,0.08576512850078719,22511000.0,0.008013326818000089
EW,2008Q2,8327.0,156776.0,1093.0,23690.0,189886.0,0.207116,0.61271,,0.8198259999999999,0.350983,0.003813,0.8198259999999999,168974.0,3,24783.0,0.13051515119598076,22511000.0,0.008435253875882901
EW,2008Q3,6099.0,122432.0,672.0,15795.0,144998.0,0.207246,0.590141,,0.7973870000000001,0.382236,0.004038,0.7973870000000001,168974.0,3,16467.0,0.11356708368391288,22511000.0,0.006441206521256275
EW,2008Q4,5303.0,98741.0,941.0,17907.0,122892.0,0.208345,0.551811,,0.760156,0.421024,0.004784,0.760156,168974.0,3,18848.0,0.1533704390847248,22511000.0,0.005459197725556394
EW,2009Q1,3672.0,76136.0,802.0,11163.0,91773.0,0.206065,0.558553,,0.764618,0.414749,0.005366,0.764618,156512.0,3,11965.0,0.13037603652490384,22694000.0,0.004043932316911959
EW,2009Q2,5740.0,115378.0,1029.0,16765.0,138912.0,0.204751,0.655477,,0.860228,0.319552,0.005587,0.860228,156512.0,3,17794.0,0.12809548491131076,22694000.0,0.006121089274698158
EW,2009Q3,7315.0,157215.0,833.0,15223.0,180586.0,0.19145,0.674889,,0.866339,0.31693,0.005817,0.866339,156512.0,3,16056.0,0.08891054677549755,22694000.0,0.007957433682911783
EW,2009Q4,8241.0,177479.0,925.0,19454.0,206099.0,0.189712,0.690598,,0.88031,0.305336,0.006838,0.88031,156512.0,3,20379.0,0.09887966462719373,22694000.0,0.009081651537851414
EW,2010Q1,5216.0,112420.0,563.0,11847.0,130046.0,0.202581,0.821489,,1.02407,0.162763,0.006845,1.02407,165483.0,3,12410.0,0.09542777171154822,22839000.0,0.005694032138009545
EW,2010Q2,7213.0,143065.0,896.0,16417.0,167591.0,0.200488,0.826939,,1.0274269999999999,0.159967,0.006685,1.0274269999999999,165483.0,3,17313.0,0.10330507008132896,22839000.0,0.007337930732518937
EW,2010Q3,7575.0,165335.0,646.0,13398.0,186954.0,0.199815,0.80447,,1.004285,0.186075,0.006778,1.004285,165483.0,3,14044.0,0.07512008301507322,22839000.0,0.008185734927098384
EW,2010Q4,7525.0,148905.0,839.0,15115.0,172384.0,0.198754,0.808102,,1.006856,0.184627,0.006854,1.006856,165483.0,3,15954.0,0.09254919250046408,22839000.0,0.007547791059153203
EW,2011Q1,5270.0,108279.0,533.0,10186.0,124268.0,0.197095,0.810057,,1.007152,0.182935,0.00741,1.007152,165131.0,3,10719.0,0.08625712170470273,22976000.0,0.005408600278551532
EW,2011Q2,6356.0,134947.0,907.0,15735.0,157945.0,0.196272,0.813348,,1.00962,0.181197,0.007532,1.00962,165131.0,3,16642.0,0.10536579188958181,22976000.0,0.006874347144846796
EW,2011Q3,7877.0,168628.0,757.0,13555.0,190817.0,0.195979,0.817946,,1.013925,0.179364,0.00774,1.013925,165131.0,3,14312.0,0.0750037994518308,22976000.0,0.008305057451253482
EW,2011Q4,7680.0,156828.0,905.0,17169.0,182582.0,0.196988,0.818294,,1.015282,0.179481,0.007914,1.015282,165131.0,3,18074.0,0.0989911382283029,22976000.0,0.007946639972144847
EW,2012Q1,5823.0,130775.0,606.0,13363.0,150567.0,0.197885,0.821549,,1.019434,0.178348,0.008651,1.019434,163628.0,3,13969.0,0.09277597348688624,23111000.0,0.006514949591103803
EW,2012Q2,6445.0,131807.0,929.0,17213.0,156394.0,0.199536,0.8299,,1.029436,0.180749,0.009623,1.029436,163628.0,3,18142.0,0.11600189265572848,23111000.0,0.006767080610964476
EW,2012Q3,7338.0,156241.0,627.0,13663.0,177869.0,0.202043,0.831715,,1.033758,0.178871,0.010798,1.033758,163628.0,3,14290.0,0.0803400255244028,23111000.0,0.007696291809095236
EW,2012Q4,7673.0,153700.0,939.0,17774.0,180086.0,0.203759,0.832132,,1.035891,0.177475,0.011816,1.035891,163628.0,3,18713.0,0.10391146452250591,23111000.0,0.007792220154904591
EW,2013Q1,5870.0,124239.0,560.0,12581.0,143250.0,0.205438,0.82972,,1.035158,0.176627,0.012905,1.035158,168928.0,3,13141.0,0.0917347294938918,23236000.0,0.006165002582200034
EW,2013Q2,7571.0,155143.0,943.0,20183.0,183840.0,0.209022,0.828528,,1.03755,0.175352,0.014135,1.03755,168928.0,3,21126.0,0.11491514360313317,23236000.0,0.007911860905491478
EW,2013Q3,9386.0,196854.0,693.0,17082.0,224015.0,0.213226,0.82876,,1.041986,0.174018,0.015278,1.041986,168928.0,3,17775.0,0.07934736513179921,23236000.0,0.00964085901187812
EW,2013Q4,10493.0,210645.0,1096.0,23340.0,245574.0,0.215689,0.833077,1.049851,1.049851,0.171194,0.015682,1.049851,168928.0,3,24436.0,0.09950564799205128,23236000.0,0.01056868652091582
EW,2014Q1,8465.0,178996.0,624.0,16366.0,204451.0,,,1.055353,1.055353,0.169634,0.015919,1.055353,185620.0,3,16990.0,0.08310059623088173,23372000.0,0.008747689543042957
EW,2014Q2,9986.0,200685.0,1071.0,24468.0,236210.0,,,1.061979,1.061979,0.168446,0.016794,1.061979,185620.0,3,25539.0,0.1081198933152703,23372000.0,0.010106537737463632
EW,2014Q3,10990.0,227771.0,899.0,19256.0,258916.0,,,1.069752,1.069752,0.16691,0.016845,1.069752,185620.0,3,20155.0,0.07784377944970569,23372000.0,0.011078042101660105
EW,2014Q4,10367.0,209830.0,1211.0,23842.0,245250.0,,,1.075866,1.075866,0.111019,0.069062,1.075866,185620.0,3,25053.0,0.10215290519877676,23372000.0,0.010493325346568544
EW,2015Q1,7985.0,162568.0,769.0,16744.0,188066.0,,,1.078303,1.078303,0.113999,0.068438,1.078303,193900.0,3,17513.0,0.0931215637063584,23543000.0,0.007988191819224399
EW,2015Q2,9475.0,188526.0,1307.0,27954.0,227262.0,,,1.085316,1.085316,0.11424,0.068172,1.085316,193900.0,3,29261.0,0.12875447721132438,23543000.0,0.009653060357643461
EW,2015Q3,11210.0,229641.0,978.0,22291.0,264120.0,,,1.097344,1.097344,0.112413,0.067585,1.097344,193900.0,3,23269.0,0.08810010601241859,23543000.0,0.011218621246230302
EW,2015Q4,11677.0,223695.0,1016.0,23664.0,260052.0,,,1.111512,1.111512,0.112859,0.063989,1.111512,193900.0,3,24680.0,0.09490409610385615,23543000.0,0.011045831032578685
EW,2016Q1,11127.0,226426.0,620.0,17992.0,256165.0,,,1.122964,1.122964,0.115003,0.063294,1.122964,203771.0,3,18612.0,0.0726562957468819,23733000.0,0.0107936206969199
EW,2016Q2,8610.0,160305.0,1149.0,26723.0,196787.0,,,1.136372,1.136372,0.115227,0.055234,1.136372,203771.0,3,27872.0,0.14163537225528108,23733000.0,0.008291703535162011
EW,2016Q3,11330.0,210798.0,903.0,22890.0,245921.0,,,1.148614,1.148614,0.114171,0.055123,1.148614,203771.0,3,23793.0,0.09675058250413751,23733000.0,0.010361985421143555
EW,2016Q4,11385.0,194890.0,1237.0,29637.0,237149.0,,,1.157035,1.157035,0.113035,0.054015,1.157035,203771.0,3,30874.0,0.13018819392027797,23733000.0,0.00999237348839169
EW,2017Q1,9450.0,171722.0,740.0,20824.0,202736.0,,,1.166022,1.166022,0.112358,0.055724,1.166022,209935.0,3,21564.0,0.10636492778786205,23950000.0,0.008464968684759917
EW,2017Q2,10951.0,186002.0,1163.0,29819.0,227935.0,,,1.178095,1.178095,0.111605,0.056388,1.178095,209935.0,3,30982.0,0.13592471537938447,23950000.0,0.009517118997912317
EW,2017Q3,12294.0,214425.0,845.0,23320.0,250884.0,,,1.196393,1.196393,0.105335,0.056959,1.196393,209935.0,3,24165.0,0.09631941455015067,23950000.0,0.010475323590814196
EW,2017Q4,12312.0,200161.0,1292.0,30196.0,243961.0,,,1.206281,1.206281,0.104211,0.058455,1.206281,209935.0,3,31488.0,0.1290698103385377,23950000.0,0.010186263048016701
EW,2018Q1,9500.0,161737.0,746.0,22079.0,194062.0,,,1.214067,1.214067,0.103915,0.059211,1.214067,214163.0,3,22825.0,0.11761705022106338,24172000.0,0.008028379943736555
EW,2018Q2,10455.0,174602.0,1055.0,30983.0,217095.0,,,1.223203,1.223203,0.104742,0.054451,1.223203,214163.0,3,32038.0,0.14757594601441765,24172000.0,0.008981259308290584
EW,2018Q3,12139.0,202867.0,858.0,24348.0,240212.0,,,1.234583,1.234583,0.104856,0.054687,1.234583,214163.0,3,25206.0,0.10493230979301617,24172000.0,0.00993761376799603
EW,2018Q4,12436.0,196487.0,1263.0,31828.0,242014.0,,,1.247764,1.247764,0.10597,0.055026,1.247764,214163.0,3,33091.0,0.13673175931970877,24172000.0,0.010012162833029952
EW,2019Q1,9295.0,155499.0,621.0,21171.0,186586.0,,,1.255109,1.255109,0.107066,0.052007,1.255109,215333.0,3,21792.0,0.11679332854555004,24414000.0,0.00764258212501024
EW,2019Q2,10267.0,165216.0,1046.0,30704.0,207233.0,,,1.264312,1.264312,0.108167,0.052431,1.264312,215333.0,3,31750.0,0.1532091896560876,24414000.0,0.00848828541001065
EW,2019Q3,11902.0,196553.0,873.0,24918.0,234246.0,,,1.277423,1.277423,0.107666,0.053079,1.277423,215333.0,3,25791.0,0.11010220025101816,24414000.0,0.00959474072253625
