crisis_start,leadQ_sigA_FAIR>20_2Q,leadQ_sigB_dFAIR>5_2Q,leadQ_sigC_FAIR>0_and_dFAIR>=0
2007-09-30,11,1,11
2019-09-30,10,5,4
