Name,quarter,new_build,existing,cash,mortgage,total_transactions,cash_share,cash_share_pct,total_stockmix_check
England,2024-03-31,5364.0,48803.0,15969.0,34926.0,50895.0,0.3137636310050103,31.37636310050103,54167.0
Wales,2024-03-31,138.0,2729.0,910.0,1811.0,2721.0,0.3344358691657479,33.443586916574795,2867.0
England,2024-06-30,7816.0,50037.0,15666.0,38534.0,54200.0,0.2890405904059041,28.904059040590408,57853.0
Wales,2024-06-30,345.0,2829.0,895.0,2099.0,2994.0,0.2989311957247829,29.893119572478287,3174.0
England,2024-09-30,5445.0,57720.0,17193.0,41445.0,58638.0,0.2932057710017395,29.32057710017395,63165.0
Wales,2024-09-30,140.0,3130.0,967.0,2131.0,3098.0,0.3121368624919303,31.213686249193028,3270.0
England,2024-12-31,7968.0,57233.0,16634.0,43802.0,60436.0,0.2752333046528559,27.52333046528559,65201.0
Wales,2024-12-31,291.0,3256.0,961.0,2332.0,3293.0,0.2918311569996963,29.18311569996963,3547.0
England,2025-03-31,7502.0,101018.0,26643.0,68991.0,95634.0,0.2785933872890395,27.85933872890395,108520.0
Wales,2025-03-31,132.0,3297.0,1003.0,2071.0,3074.0,0.3262849707221861,32.62849707221861,3429.0
England,2025-06-30,2073.0,46034.0,10268.0,28978.0,39246.0,0.2616317586505631,26.16317586505631,48107.0
Wales,2025-06-30,50.0,2839.0,706.0,1749.0,2455.0,0.28757637474541753,28.757637474541752,2889.0
England,2025-09-30,230.0,45017.0,6814.0,17062.0,23876.0,0.2853911878036522,28.539118780365218,45247.0
Wales,2025-09-30,2.0,2450.0,435.0,966.0,1401.0,0.31049250535331907,31.049250535331907,2452.0
England,2025-12-31,86.0,47792.0,4161.0,11327.0,15488.0,0.26865960743801653,26.865960743801654,47878.0
Wales,2025-12-31,,2671.0,278.0,641.0,919.0,0.3025027203482046,30.25027203482046,
