Name,quarter,new_build,existing,cash,mortgage,total_transactions,cash_share,cash_share_pct,total_stockmix_check
Wales,1990-03-31,,,,,,,,
England,1990-06-30,,,,,,,,
Wales,1990-06-30,,,,,,,,
England,1990-09-30,,,,,,,,
Wales,1990-09-30,,,,,,,,
England,1990-12-31,,,,,,,,
Wales,1990-12-31,,,,,,,,
England,1991-03-31,,,,,,,,
Wales,1991-03-31,,,,,,,,
England,1991-06-30,,,,,,,,
Wales,1991-06-30,,,,,,,,
England,1991-09-30,,,,,,,,
Wales,1991-09-30,,,,,,,,
England,1991-12-31,,,,,,,,
Wales,1991-12-31,,,,,,,,
England,1992-03-31,,,,,,,,
Wales,1992-03-31,,,,,,,,
England,1992-06-30,,,,,,,,
Wales,1992-06-30,,,,,,,,
England,1992-09-30,,,,,,,,
Wales,1992-09-30,,,,,,,,
England,1992-12-31,,,,,,,,
Wales,1992-12-31,,,,,,,,
England,1993-03-31,,,,,,,,
Wales,1993-03-31,,,,,,,,
England,1993-06-30,,,,,,,,
Wales,1993-06-30,,,,,,,,
England,1993-09-30,,,,,,,,
Wales,1993-09-30,,,,,,,,
England,1993-12-31,,,,,,,,
Wales,1993-12-31,,,,,,,,
England,1994-03-31,,,,,,,,
Wales,1994-03-31,,,,,,,,
England,1994-06-30,,,,,,,,
Wales,1994-06-30,,,,,,,,
England,1994-09-30,,,,,,,,
Wales,1994-09-30,,,,,,,,
England,1994-12-31,,,,,,,,
Wales,1994-12-31,,,,,,,,
England,1995-03-31,9447.0,57578.0,,,,,,67025.0
Wales,1995-03-31,448.0,2685.0,,,,,,3133.0
England,1995-06-30,12068.0,60572.0,,,,,,72640.0
Wales,1995-06-30,521.0,2654.0,,,,,,3175.0
England,1995-09-30,8863.0,58388.0,,,,,,67251.0
Wales,1995-09-30,463.0,2728.0,,,,,,3191.0
England,1995-12-31,12039.0,57306.0,,,,,,69345.0
Wales,1995-12-31,506.0,2674.0,,,,,,3180.0
England,1996-03-31,9154.0,59299.0,,,,,,68453.0
Wales,1996-03-31,546.0,3071.0,,,,,,3617.0
England,1996-06-30,11844.0,63701.0,,,,,,75545.0
Wales,1996-06-30,560.0,2780.0,,,,,,3340.0
England,1996-09-30,9279.0,70737.0,,,,,,80016.0
Wales,1996-09-30,489.0,3135.0,,,,,,3624.0
England,1996-12-31,12549.0,74162.0,,,,,,86711.0
Wales,1996-12-31,464.0,3265.0,,,,,,3729.0
England,1997-03-31,9476.0,66597.0,,,,,,76073.0
Wales,1997-03-31,451.0,3593.0,,,,,,4044.0
England,1997-06-30,12942.0,82474.0,,,,,,95416.0
Wales,1997-06-30,579.0,3578.0,,,,,,4157.0
England,1997-09-30,9223.0,80269.0,,,,,,89492.0
Wales,1997-09-30,496.0,3549.0,,,,,,4045.0
England,1997-12-31,12191.0,75402.0,,,,,,87593.0
Wales,1997-12-31,593.0,3359.0,,,,,,3952.0
England,1998-03-31,8721.0,67981.0,,,,,,76702.0
Wales,1998-03-31,446.0,3164.0,,,,,,3610.0
England,1998-06-30,12301.0,79422.0,,,,,,91723.0
Wales,1998-06-30,544.0,3492.0,,,,,,4036.0
England,1998-09-30,8501.0,76782.0,,,,,,85283.0
Wales,1998-09-30,376.0,3245.0,,,,,,3621.0
England,1998-12-31,11414.0,72740.0,,,,,,84154.0
Wales,1998-12-31,546.0,3276.0,,,,,,3822.0
England,1999-03-31,9267.0,74680.0,,,,,,83947.0
Wales,1999-03-31,402.0,3080.0,,,,,,3482.0
England,1999-06-30,12075.0,88769.0,,,,,,100844.0
Wales,1999-06-30,507.0,3515.0,,,,,,4022.0
England,1999-09-30,9423.0,93022.0,,,,,,102445.0
Wales,1999-09-30,430.0,3851.0,,,,,,4281.0
England,1999-12-31,12686.0,89756.0,,,,,,102442.0
Wales,1999-12-31,630.0,4126.0,,,,,,4756.0
England,2000-03-31,10938.0,85416.0,,,,,,96354.0
Wales,2000-03-31,564.0,4181.0,,,,,,4745.0
England,2000-06-30,13310.0,92121.0,,,,,,105431.0
Wales,2000-06-30,726.0,4582.0,,,,,,5308.0
England,2000-09-30,8974.0,79174.0,,,,,,88148.0
Wales,2000-09-30,523.0,4220.0,,,,,,4743.0
England,2000-12-31,12444.0,78379.0,,,,,,90823.0
Wales,2000-12-31,747.0,4026.0,,,,,,4773.0
England,2001-03-31,9944.0,80282.0,,,,,,90226.0
Wales,2001-03-31,534.0,3988.0,,,,,,4522.0
England,2001-06-30,14297.0,99150.0,,,,,,113447.0
Wales,2001-06-30,900.0,4912.0,,,,,,5812.0
England,2001-09-30,8561.0,89735.0,,,,,,98296.0
Wales,2001-09-30,464.0,4451.0,,,,,,4915.0
England,2001-12-31,12624.0,80705.0,,,,,,93329.0
Wales,2001-12-31,675.0,4278.0,,,,,,4953.0
England,2002-03-31,10881.0,91947.0,,,,,,102828.0
Wales,2002-03-31,657.0,5060.0,,,,,,5717.0
England,2002-06-30,13114.0,91171.0,,,,,,104285.0
Wales,2002-06-30,709.0,4803.0,,,,,,5512.0
England,2002-09-30,9427.0,94627.0,,,,,,104054.0
Wales,2002-09-30,484.0,4843.0,,,,,,5327.0
England,2002-12-31,13683.0,88387.0,,,,,,102070.0
Wales,2002-12-31,674.0,4787.0,,,,,,5461.0
England,2003-03-31,8560.0,71552.0,,,,,,80112.0
Wales,2003-03-31,470.0,4049.0,,,,,,4519.0
England,2003-06-30,13396.0,81111.0,,,,,,94507.0
Wales,2003-06-30,707.0,4844.0,,,,,,5551.0
England,2003-09-30,9582.0,97100.0,,,,,,106682.0
Wales,2003-09-30,409.0,5076.0,,,,,,5485.0
England,2003-12-31,15732.0,100373.0,,,,,,116105.0
Wales,2003-12-31,725.0,5348.0,,,,,,6073.0
England,2004-03-31,9871.0,90471.0,,,,,,100342.0
Wales,2004-03-31,513.0,4743.0,,,,,,5256.0
England,2004-06-30,14340.0,104537.0,,,,,,118877.0
Wales,2004-06-30,591.0,5097.0,,,,,,5688.0
England,2004-09-30,9113.0,84883.0,,,,,,93996.0
Wales,2004-09-30,464.0,3812.0,,,,,,4276.0
England,2004-12-31,14411.0,66477.0,,,,,,80888.0
Wales,2004-12-31,663.0,3061.0,,,,,,3724.0
England,2005-03-31,8639.0,58683.0,,,,,,67322.0
Wales,2005-03-31,364.0,2972.0,,,,,,3336.0
England,2005-06-30,14193.0,77887.0,,,,,,92080.0
Wales,2005-06-30,596.0,3675.0,,,,,,4271.0
