geo,period,p,avg_house_price_gbp,mb_total_gbp_m,turnover_pct_q,newbuild_share_of_transactions,gP_yoy,gMB_yoy,gTO_yoy,W_wedge,dNB_yoy,zW,zTO,zNB,fair_wedge_contrib,fair_turn_contrib,fair_nb_contrib,FAIR,dFAIR
EW,1999Q1,1999-03-31,71122.0,0.423354,0.010268026950829,0.103779336277626,,,,,,,,,,,,,
EW,1999Q2,1999-06-30,71122.0,0.43159,0.0138918621876045,0.1104070997368556,,,,,,,,,,,,,
EW,1999Q3,1999-09-30,71122.0,0.4419949999999999,0.0164481769962249,0.0895903965881392,,,,,,,,,,,,,
EW,1999Q4,1999-12-31,71122.0,0.448946,0.0156727672384957,0.1055905166105663,,,,,,,,,,,,,
EW,2000Q1,2000-03-31,80366.0,0.455721,0.0117660735468564,0.1034399322498689,0.12997384775456267,0.07645374792726645,0.1458942991872898,0.05352009982729622,-0.00033940402775710365,0.8116482079341469,0.6827789556801286,-0.12253651372819396,44.640651436378086,-23.897263448804498,-1.2253651372819399,19.518022850291647,
EW,2000Q2,2000-06-30,80366.0,0.464762,0.0142620640569395,0.1105921024177155,0.12997384775456267,0.07685998285409767,0.026648829677084374,0.05311386490046499,0.0001850026808598998,0.8010313941757812,0.012024635736732138,-0.08627877242140197,44.05672667966797,-0.4208622507856248,-0.8627877242140197,42.77307670466832,23.255053854376673
EW,2000Q3,2000-09-30,80366.0,0.470397,0.0138710794780545,0.0932395589960763,0.12997384775456267,0.06425864545979043,-0.15667982650976342,0.06571520229477223,0.0036491624079370982,1.130363126592948,-1.0191968321465552,0.15323495836403916,62.16997196261214,35.67188912512943,1.5323495836403918,99.37421067138196,56.60113396671364
EW,2000Q4,2000-12-31,80366.0,0.473322,0.0128364412811387,0.1128422935888336,0.12997384775456267,0.0542960623326636,-0.18097161236404835,0.07567778542189907,0.007251776978267302,1.3907318999970257,-1.155837832998223,0.40232152604658844,76.49025449983642,40.4543241549378,4.023215260465884,120.96779391524012,21.593583243858163
EW,2001Q1,2001-03-31,88799.0,0.488309,0.0109906163059367,0.0968045032135165,0.10493243411392883,0.07150866429240699,-0.06590620378425938,0.03342376982152184,-0.0066354290363524054,0.28643735380538876,-0.5085963050981628,-0.5578468220664949,15.754054459296382,17.800870678435697,-5.578468220664949,27.97645691706713,-92.991336998173
EW,2001Q2,2001-06-30,88799.0,0.4984,0.0149086150799264,0.1053778541087463,0.10493243411392883,0.07237682943097767,0.04533362214652992,0.032555604682951156,-0.005214248308969202,0.26374814867079427,0.11712636679288628,-0.4595856779641368,14.506148176893685,-4.099422837751019,-4.595856779641369,5.810868559501297,-22.16558835756583
EW,2001Q3,2001-09-30,88799.0,0.508417,0.0166524732399679,0.0808865379768879,0.10493243411392883,0.08082534539973674,0.200517469913849,0.024107088714192093,-0.012353021019188407,0.04294901336611812,0.9900336286193767,-0.9531639825928694,2.3621957351364973,-34.651177001678185,-9.531639825928695,-41.82062109247038,-47.63148965197168
EW,2001Q4,2001-12-31,88799.0,0.517952,0.0153028716933088,0.1013009663264803,0.10493243411392883,0.0942909900659592,0.1921428500431941,0.010641444047969628,-0.01154132726235331,-0.3089711001326619,0.9429264934032683,-0.8970430715288593,-16.993410507296407,-33.002427269114385,-8.970430715288593,-58.96626849169939,-17.145647399229006
EW,2002Q1,2002-03-31,106407.0,0.528077,0.0124187037557366,0.0906636398945657,0.1982905212896542,0.08144023558853108,0.12993697623931277,0.1168502857011231,-0.006140863318950793,2.466761405486555,0.5930192076070879,-0.523652301771271,135.67187730176053,-20.755672266248077,-5.2365230177127104,109.67968201779975,168.64595050949913
EW,2002Q2,2002-06-30,106407.0,0.5427949999999999,0.0165566170272548,0.0997284683920237,0.1982905212896542,0.08907504012841083,0.1105402439122154,0.10921548116124336,-0.005649385716722591,2.26722834585108,0.4839128234851082,-0.4896712952988935,124.69755902180941,-16.93694882197879,-4.896712952988935,102.86389724684169,-6.815784770958061
EW,2002Q3,2002-09-30,106407.0,0.5599810000000001,0.0175630795167181,0.0831506871230422,0.1982905212896542,0.10142068420214123,0.054682944907224806,0.09686983708751296,0.002264149146154304,1.944579072731536,0.16971619394556076,0.05747445086665569,106.95184900023449,-5.940066788094626,0.5747445086665569,101.58652672080642,-1.27737052603527
EW,2002Q4,2002-12-31,106407.0,0.575257,0.0157334457244544,0.1056546378864905,0.1982905212896542,0.1106376652662795,0.028136812473822825,0.08765285602337469,0.004353671560010208,1.703696359529986,0.02039452092409647,0.20194507241177917,93.70329977414924,-0.7138082323433764,2.019450724117792,95.00894226592365,-6.577584454882768
EW,2003Q1,2003-03-31,127246.0,0.581521,0.0115363733556454,0.0893698978975107,0.19584237879086897,0.10120493791625074,-0.07104851017028435,0.09463744087461823,-0.001293741997055009,1.8862361453715975,-0.5375217161604553,-0.188519916765328,103.74298799543786,18.813260065615932,-1.88519916765328,120.67104889340051,25.66210662747686
EW,2003Q2,2003-06-30,127246.0,0.597042,0.0132315809045693,0.1124043126495252,0.19584237879086897,0.09994012472480418,-0.200828231830933,0.09590225406606478,0.012675844257501498,1.9192916145245271,-1.2675310767046026,0.7773442422123744,105.561038798849,44.363587684661084,7.773442422123744,157.69806890563382,37.02702001223331
